Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
Knowsley,E08000011,Upper tier local authority,2020-04-30,11,,,563,,
Wigan,E08000010,Upper tier local authority,2020-04-30,8,,,768,,
Trafford,E08000009,Upper tier local authority,2020-04-30,12,,,620,,
Tameside,E08000008,Upper tier local authority,2020-04-30,8,,,474,,
Stockport,E08000007,Upper tier local authority,2020-04-30,22,,,870,,
Salford,E08000006,Upper tier local authority,2020-04-30,12,,,713,,
Rochdale,E08000005,Upper tier local authority,2020-04-30,5,,,526,,
Oldham,E08000004,Upper tier local authority,2020-04-30,14,,,752,,
Manchester,E08000003,Upper tier local authority,2020-04-30,16,,,1150,,
Bury,E08000002,Upper tier local authority,2020-04-30,10,,,548,,
Bolton,E08000001,Upper tier local authority,2020-04-30,13,,,804,,
Dorset,E06000059,Upper tier local authority,2020-04-30,3,,,314,,
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,2020-04-30,4,,,413,,
Northumberland,E06000057,Upper tier local authority,2020-04-30,19,,,793,,
Central Bedfordshire,E06000056,Upper tier local authority,2020-04-30,2,,,509,,
Wiltshire,E06000054,Upper tier local authority,2020-04-30,5,,,447,,
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,2020-04-30,4,,,504,,
Shropshire,E06000051,Upper tier local authority,2020-04-30,5,,,513,,
Cheshire West and Chester,E06000050,Upper tier local authority,2020-04-30,14,,,838,,
Cheshire East,E06000049,Upper tier local authority,2020-04-30,23,,,899,,
